Model,Channel_Config,N_Channels,Feature_Subset,N_Features,Class_Type,N_Samples,Time_sec,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_cls0_mean,precision_cls0_std,recall_cls0_mean,recall_cls0_std,f1_cls0_mean,f1_cls0_std,support_cls0_mean,support_cls0_std,precision_cls10_mean,precision_cls10_std,recall_cls10_mean,recall_cls10_std,f1_cls10_mean,f1_cls10_std,support_cls10_mean,support_cls10_std,precision_cls40_mean,precision_cls40_std,recall_cls40_mean,recall_cls40_std,f1_cls40_mean,f1_cls40_std,support_cls40_mean,support_cls40_std,confusion_matrix_sum,roc_auc_macro_mean,roc_auc_macro_std
NaiveBayes,Cz,1,Martinez-All-p,9,3class,1184,0.1,0.570622947564517,0.11060315817624436,0.6625199281065369,0.08493542326220684,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.48356790040832065,0.11734564826012933,0.6432745019683659,0.1947993625233761,0.5515025056656964,0.14855660141852983,99.6,14.621901381147392,0.5417666872006835,0.17229781007352465,0.3671465890431408,0.07474815416869045,0.4360572786539145,0.10910137128871601,105.0,16.911534525287763,"[[161   0   0]
 [  0 315 183]
 [  0 336 189]]",0.7442778360423412,0.09644768934977208
BayesNet,Cz,1,Martinez-All-p,9,3class,1184,0.1,0.570622947564517,0.11060315817624436,0.6625199281065369,0.08493542326220684,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.48356790040832065,0.11734564826012933,0.6432745019683659,0.1947993625233761,0.5515025056656964,0.14855660141852983,99.6,14.621901381147392,0.5417666872006835,0.17229781007352465,0.3671465890431408,0.07474815416869045,0.4360572786539145,0.10910137128871601,105.0,16.911534525287763,"[[161   0   0]
 [  0 315 183]
 [  0 336 189]]",0.7442778360423412,0.09644768934977208
RandomTree,Cz,1,Martinez-All-p,9,3class,1184,0.2,0.5878275203875992,0.036901368535339873,0.679695660601256,0.03182275698457863,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5125610694728342,0.043712527020472874,0.5738419214791562,0.08335486249136936,0.5383653359392927,0.041828655595580765,99.6,14.621901381147392,0.5377367661578188,0.040891775026906156,0.4770401552470518,0.11218375303038344,0.5007216458644752,0.08206414242187393,105.0,16.911534525287763,"[[161   0   0]
 [  0 286 212]
 [  0 278 247]]",0.728268630716063,0.02395440571290783
LDA,Cz,1,Martinez-All-p,9,3class,1184,0.1,0.5805869705474616,0.11987009998776026,0.6660354682683259,0.09383619919257012,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5528123273802085,0.17132116428906427,0.5517114484690715,0.09202337862844781,0.531380224849719,0.05809700017832374,99.6,14.621901381147392,0.4849737581342447,0.14579437276425827,0.48252134646962236,0.3273805087786732,0.4667261799552588,0.2342755424493704,105.0,16.911534525287763,"[[161   0   0]
 [  0 270 228]
 [  0 266 259]]",0.758340264080622,0.08895550480844404
LogisticRegression,Cz,1,Martinez-All-p,9,3class,1184,0.2,0.581724890389886,0.12765437953517267,0.6673838297387205,0.09835270516924334,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5614233148838913,0.1925373670146888,0.5385424440096785,0.09402980648487294,0.5271453138827507,0.06892191742648275,99.6,14.621901381147392,0.48580314009661835,0.1517908130119886,0.49759732795939693,0.33600424117870614,0.47500617533341066,0.23828458404015251,105.0,16.911534525287763,"[[161   0   0]
 [  0 263 235]
 [  0 258 267]]",0.7571495312422482,0.09055445684831454
SVM,Cz,1,Martinez-All-p,9,2class,1023,0.9,0.4466753605152324,0.08389344634447878,0.42787860631075664,0.094208831379328,,,,,,,,,0.45287408243929994,0.06998315973858761,0.460242005949299,0.13216081121413445,0.44244034889837114,0.04819154837763612,99.6,14.621901381147392,0.4147249739744307,0.1410361552286305,0.43550253769219277,0.27028694592874103,0.4133168637231421,0.20925273806350225,105.0,16.911534525287763,"[[223 275]
 [288 237]]",,
kNN,Cz,1,Martinez-All-p,9,2class,1023,0.5,0.4865520483723885,0.09188118568628068,0.47939579984990194,0.08902950758714377,,,,,,,,,0.47634589661253574,0.08038996830265675,0.5989216496980323,0.13672129275928585,0.5291219343060183,0.09873006643253526,99.6,14.621901381147392,0.5058506158055855,0.11754522411760408,0.3790232124197641,0.09550439660025263,0.4296696653937856,0.0938178431284849,105.0,16.911534525287763,"[[292 206]
 [325 200]]",,
MLP,Cz,1,Martinez-All-p,9,2class,1023,0.6,0.5445029737403067,0.027915944613891634,0.518567984580693,0.03224065205196624,,,,,,,,,0.5245387071650904,0.020540980785751242,0.7246851487626452,0.18086335096613124,0.5991843364749377,0.07844211382251569,99.6,14.621901381147392,0.6018158595029748,0.06605381015745325,0.36980929989550676,0.17392594921954924,0.43795163268644827,0.10643739907073861,105.0,16.911534525287763,"[[362 136]
 [330 195]]",,
RandomForest,Cz,1,Martinez-All-p,9,2class,1023,4.1,0.501510913212299,0.09757612791296878,0.49255053488032685,0.11177276514831685,,,,,,,,,0.5000664552838465,0.08083323985594576,0.5901465404169649,0.06451679224981603,0.5376297071401297,0.05987066284044817,99.6,14.621901381147392,0.4905831543842337,0.1500083387533148,0.41921025526197947,0.18907007971426187,0.4474713626205239,0.17580441061243485,105.0,16.911534525287763,"[[291 207]
 [306 219]]",,
NaiveBayes,Cz,1,Martinez-All-p,9,2class,1023,0.1,0.5024786897272185,0.13201858265835964,0.4937798921598054,0.1274031348933102,,,,,,,,,0.48356790040832065,0.11734564826012933,0.6432745019683659,0.1947993625233761,0.5515025056656964,0.14855660141852983,99.6,14.621901381147392,0.5417666872006835,0.17229781007352465,0.3671465890431408,0.07474815416869045,0.4360572786539145,0.10910137128871601,105.0,16.911534525287763,"[[315 183]
 [336 189]]",,
