Model,Feature_Subset,Feature_Label,Channel_Config,Class_Type,Month,Accuracy,F1_Macro,Kappa,MAE,N,N_Features,Group
RandomForest,A5_Promedio,Promedio,All-16,2class,Mes 6,0.5588599752168525,0.5588430401827942,0.11770775750875262,13.234200743494425,807,1,A
NaiveBayes,A5_Promedio,Promedio,All-16,2class,Mes 6,0.6009913258983891,0.5995148324414963,0.2018637737425364,11.970260223048328,807,1,A
LogisticRegression,A5_Promedio,Promedio,All-16,2class,Mes 6,0.5799256505576208,0.5796132244358563,0.1597958249770426,12.602230483271375,807,1,A
MLP,A5_Promedio,Promedio,All-16,2class,Mes 6,0.5861214374225526,0.5727045022194039,0.1726074998158199,12.41635687732342,807,1,A
DecisionTree,A5_Promedio,Promedio,All-16,2class,Mes 6,0.5675340768277571,0.567212434596206,0.1350110410530615,12.973977695167287,807,1,A
SVM,A6_HO,Hurst Original,All-16,3class,Mes 6,0.37204058624577224,0.36171945187545296,0.1301104310897323,17.068771138669675,887,1,A
kNN,A6_HO,Hurst Original,All-16,3class,Mes 6,0.399098083427283,0.3649418784953838,0.10041594994900527,16.20067643742954,887,1,A
RandomForest,A6_HO,Hurst Original,All-16,3class,Mes 6,0.37993235625704624,0.34655124644867313,0.031257508573425685,17.294250281848928,887,1,A
NaiveBayes,A6_HO,Hurst Original,All-16,3class,Mes 6,0.35400225479143177,0.3464512428432313,0.11517269114060247,17.395715896279594,887,1,A
LogisticRegression,A6_HO,Hurst Original,All-16,3class,Mes 6,0.3686583990980834,0.3500281890239371,0.09387262189905121,17.745208568207442,887,1,A
MLP,A6_HO,Hurst Original,All-16,3class,Mes 6,0.36302142051860203,0.3508990700657368,0.10238430428537149,17.835400225479145,887,1,A
DecisionTree,A6_HO,Hurst Original,All-16,3class,Mes 6,0.3945885005636979,0.3641382981943532,0.08297909206422549,16.52762119503946,887,1,A
SVM,A6_HO,Hurst Original,All-16,2class,Mes 6,0.6022304832713755,0.6016800210348598,0.20453547465876465,11.933085501858736,807,1,A
kNN,A6_HO,Hurst Original,All-16,2class,Mes 6,0.59727385377943,0.5932768756716689,0.19435101138091504,12.0817843866171,807,1,A
RandomForest,A6_HO,Hurst Original,All-16,2class,Mes 6,0.5241635687732342,0.5240751434433782,0.048296449169875966,14.275092936802974,807,1,A
NaiveBayes,A6_HO,Hurst Original,All-16,2class,Mes 6,0.5774473358116481,0.5766959496564338,0.15480771888657863,12.676579925650557,807,1,A
LogisticRegression,A6_HO,Hurst Original,All-16,2class,Mes 6,0.5811648079306072,0.5811127082411912,0.16235405393785662,12.565055762081784,807,1,A
MLP,A6_HO,Hurst Original,All-16,2class,Mes 6,0.587360594795539,0.5756608710344184,0.17506193228736577,12.37918215613383,807,1,A
DecisionTree,A6_HO,Hurst Original,All-16,2class,Mes 6,0.5563816604708798,0.556380979288996,0.11276740800796003,13.308550185873607,807,1,A
SVM,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.37767756482525366,0.37068288453692366,0.14863694692804463,16.640360766629087,887,1,A
kNN,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.3652762119503946,0.3335619370336331,0.05504738188588998,17.22660653889515,887,1,A
RandomForest,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.370913190529876,0.33357799065882854,0.032098717146432976,17.576099210823,887,1,A
NaiveBayes,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.34949267192784667,0.3445749579886937,0.1174798984013562,17.54227733934611,887,1,A
LogisticRegression,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.3765501691093574,0.3573034492389331,0.08972460379319303,17.33934611048478,887,1,A
MLP,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.4024802705749718,0.37468566272054665,0.11540509670875965,16.505073280721533,887,1,A
DecisionTree,A7_HRS_p64,HRS p64,All-16,3class,Mes 6,0.370913190529876,0.3425996388403077,0.06693888631247946,17.33934611048478,887,1,A
SVM,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.5947955390334573,0.5931061067466405,0.1897217181440507,12.156133828996282,807,1,A
kNN,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.5687732342007435,0.5639355055091115,0.13732260244516803,12.936802973977695,807,1,A
RandomForest,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.516728624535316,0.5167100721103645,0.03344389165284689,14.49814126394052,807,1,A
NaiveBayes,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.5848822800495663,0.5844509378655431,0.16969953838924567,12.453531598513012,807,1,A
LogisticRegression,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.5675340768277571,0.567212434596206,0.1350110410530615,12.973977695167287,807,1,A
MLP,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.5774473358116481,0.5766959496564338,0.1549842012657412,12.676579925650557,807,1,A
DecisionTree,A7_HRS_p64,HRS p64,All-16,2class,Mes 6,0.5526641883519207,0.5526202231316754,0.10535173032217249,13.420074349442379,807,1,A
SVM,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.44306651634723787,0.416280613364864,0.1774564444886627,15.670800450958286,887,1,A
kNN,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.48252536640360766,0.446170917087928,0.2037624114792861,14.63359639233371,887,1,A
RandomForest,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.45208568207440814,0.4071940435863422,0.14506871864030302,15.276211950394588,887,1,A
NaiveBayes,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.4577226606538895,0.42856780310087816,0.19368360576114418,15.11837655016911,887,1,A
LogisticRegression,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.399098083427283,0.37453642376309687,0.09485637047304707,16.764374295377678,887,1,A
MLP,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.42390078917700114,0.3921731920012433,0.13779472888271704,16.36978579481398,887,1,A
DecisionTree,A8_HV,Hurst Semivariograma,All-16,3class,Mes 6,0.45434047350620066,0.40744567913819657,0.14528491962682322,15.501691093573845,887,1,A
SVM,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.6344485749690211,0.6334557380078062,0.2689925598847903,10.966542750929367,807,1,A
kNN,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.6418835192069393,0.6397571844517729,0.2836317394789949,10.743494423791821,807,1,A
RandomForest,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.5762081784386617,0.5760200319528082,0.15246190601949383,12.71375464684015,807,1,A
NaiveBayes,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.620817843866171,0.6207893120393121,0.24165315448113212,11.37546468401487,807,1,A
LogisticRegression,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.5539033457249071,0.5536559285161196,0.1077559995823173,13.382899628252789,807,1,A
MLP,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.5836431226765799,0.5794058521331249,0.16749461170503466,12.490706319702602,807,1,A
DecisionTree,A8_HV,Hurst Semivariograma,All-16,2class,Mes 6,0.6022304832713755,0.6021107344563346,0.20449639017439558,11.933085501858736,807,1,A
SVM,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.5625704622322435,0.5208809012239181,0.3196709807123216,12.547914317925592,887,7,A
kNN,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.4904171364148816,0.4544495024567488,0.21643109540636052,14.723788049605412,887,7,A
RandomForest,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.5760992108229989,0.5097972016873057,0.2970851687145657,12.232243517474634,887,7,A
NaiveBayes,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.45434047350620066,0.43332463014715455,0.20752404334262453,15.434047350620068,887,7,A
LogisticRegression,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.5343855693348365,0.4954590288640879,0.2692758803652713,13.303269447576099,887,7,A
MLP,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.45208568207440814,0.41911785826780906,0.17049845291790444,15.546786922209696,887,7,A
DecisionTree,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mes 6,0.5174746335963923,0.45083603748880624,0.19716114679180408,13.7880496054115,887,7,A
SVM,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.6728624535315985,0.6726407788472176,0.3457681040147891,9.814126394052044,807,7,A
kNN,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.6480793060718711,0.6475592352926702,0.29609267984053755,10.557620817843866,807,7,A
RandomForest,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.677819083023544,0.677759211706454,0.3556609220110799,9.66542750929368,807,7,A
NaiveBayes,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.6133828996282528,0.6132112572201056,0.22672661605365962,11.598513011152416,807,7,A
LogisticRegression,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.6505576208178439,0.6505141530296329,0.30113563080022354,10.483271375464684,807,7,A
MLP,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.5811648079306072,0.5810560914173373,0.16229745832463172,12.565055762081784,807,7,A
DecisionTree,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mes 6,0.61090458488228,0.6108561845790947,0.22183187259315673,11.672862453531598,807,7,A
SVM,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mes 6,0.6651634723788049,0.6060079555384804,0.4906054400853893,9.582863585118377,887,16,B
kNN,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mes 6,0.5783540022547914,0.534772917214647,0.38024869413162554,11.803833145434048,887,16,B
RandomForest,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mes 6,0.7553551296505073,0.6296410254509955,0.5820897790804971,6.978579481397971,887,16,B
NaiveBayes,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mes 6,0.5445321307779031,0.5086239447100119,0.3369181463580717,12.61555806087937,887,16,B
LogisticRegression,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mes 6,0.6922209695603156,0.6045184284440376,0.5103421221318785,8.59075535512965,887,16,B
MLP,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mes 6,0.6347237880496054,0.5653646892578811,0.43475960545595804,10.135287485907554,887,16,B
