Model,Feature_Subset,Class_Type,Month,Accuracy,F1,N
kNN,All_Fractals,3class,Mes 3,0.6536363636363637,0.5075946717031427,1100
NaiveBayes,All_Fractals,3class,Mes 3,0.5381818181818182,0.4868995122654501,1100
SVM,All_Fractals,2class,Mes 3,0.726,0.7259605383175177,1000
RandomForest,All_Fractals,2class,Mes 3,0.752,0.7519513824709643,1000
LogisticRegression,All_Fractals,2class,Mes 3,0.69,0.6897207486738064,1000
kNN,All_Fractals,2class,Mes 3,0.736,0.7335443446805762,1000
NaiveBayes,All_Fractals,2class,Mes 3,0.68,0.6798450450017809,1000
SVM,RS_only,3class,Mes 6,0.5501691093573844,0.3836446991030637,887
RandomForest,RS_only,3class,Mes 6,0.4464487034949267,0.36064180524530487,887
LogisticRegression,RS_only,3class,Mes 6,0.5310033821871477,0.37079545665792946,887
kNN,RS_only,3class,Mes 6,0.5107102593010147,0.3835993995122113,887
NaiveBayes,RS_only,3class,Mes 6,0.5152198421645998,0.3597279169971808,887
SVM,RS_only,2class,Mes 6,0.5985130111524164,0.5981866240472093,807
RandomForest,RS_only,2class,Mes 6,0.5415117719950434,0.5415110679802472,807
LogisticRegression,RS_only,2class,Mes 6,0.5824039653035935,0.5823398331257515,807
kNN,RS_only,2class,Mes 6,0.5786864931846345,0.5748155953635405,807
NaiveBayes,RS_only,2class,Mes 6,0.5749690210656754,0.5748410651667376,807
SVM,Higuchi_only,3class,Mes 6,0.5546786922209695,0.40895304590386417,887
RandomForest,Higuchi_only,3class,Mes 6,0.4983089064261556,0.4019789424061151,887
LogisticRegression,Higuchi_only,3class,Mes 6,0.45208568207440814,0.3676280357913986,887
kNN,Higuchi_only,3class,Mes 6,0.5445321307779031,0.48387181976752264,887
NaiveBayes,Higuchi_only,3class,Mes 6,0.5016910935738444,0.4167231300457372,887
SVM,Higuchi_only,2class,Mes 6,0.6158612143742255,0.6152935314814358,807
RandomForest,Higuchi_only,2class,Mes 6,0.573729863692689,0.573650649334693,807
LogisticRegression,Higuchi_only,2class,Mes 6,0.5080545229244114,0.5074615851736834,807
kNN,Higuchi_only,2class,Mes 6,0.5960346964064436,0.5903578813622661,807
NaiveBayes,Higuchi_only,2class,Mes 6,0.5700123915737298,0.5700018273029777,807
SVM,DFA_only,3class,Mes 6,0.5501691093573844,0.39883339464402584,887
RandomForest,DFA_only,3class,Mes 6,0.46223224351747466,0.3951330510951671,887
LogisticRegression,DFA_only,3class,Mes 6,0.4983089064261556,0.40645723911082815,887
kNN,DFA_only,3class,Mes 6,0.532130777903044,0.4277385313099599,887
NaiveBayes,DFA_only,3class,Mes 6,0.5445321307779031,0.4148119985995405,887
SVM,DFA_only,2class,Mes 6,0.6121437422552665,0.6095320246161267,807
RandomForest,DFA_only,2class,Mes 6,0.5241635687732342,0.5241043785935426,807
LogisticRegression,DFA_only,2class,Mes 6,0.5625774473358116,0.5617052309936257,807
